,value_daily,value_weekly,factor,value,Open,High,Low,Close,Volume
2017-07-05,40,,0.25806451612903225,10.32258064516129,6.65,6.76,6.41,6.46,11436900
2017-07-06,43,,0.25806451612903225,11.096774193548386,6.44,6.47,6.25,6.3,10709500
2017-07-07,39,,0.25806451612903225,10.064516129032258,6.30,6.44,6.27,6.34,8273100
2017-07-10,31,,0.34782608695652173,10.782608695652174,6.40,6.50,6.36,6.46,11379400
2017-07-11,40,,0.34782608695652173,13.91304347826087,6.49,6.64,6.47,6.57,9346700
2017-07-12,42,,0.34782608695652173,14.608695652173912,6.67,6.69,6.47,6.6,10367200
2017-07-13,48,,0.34782608695652173,16.695652173913043,6.86,7.24,6.80,7.22,29036500
2017-07-14,41,,0.34782608695652173,14.26086956521739,7.35,7.38,7.04,7.15,27102100
2017-07-17,34,,0.35,11.899999999999999,7.18,7.29,7.11,7.21,10852600
2017-07-18,32,,0.35,11.2,7.27,7.28,7.08,7.1,7592300
2017-07-19,40,,0.35,14.0,7.13,7.14,6.89,7.1,7594500
2017-07-20,37,,0.35,12.95,7.13,7.20,7.04,7.06,5387500
2017-07-21,32,,0.35,11.2,7.10,7.12,6.91,6.95,5062100
2017-07-24,37,,0.30434782608695654,11.260869565217392,6.94,6.95,6.87,6.93,7501800
2017-07-25,38,,0.30434782608695654,11.565217391304348,6.96,7.05,6.93,7.0,6670800
2017-07-26,36,,0.30434782608695654,10.956521739130435,7.14,7.53,7.14,7.47,23059100
2017-07-27,36,,0.30434782608695654,10.956521739130435,7.50,7.97,7.49,7.9,20345700
2017-07-28,35,,0.30434782608695654,10.652173913043478,7.92,7.92,7.53,7.67,19100300
2017-07-31,36,,0.2962962962962963,10.666666666666666,-,-,-,7.7,10466800
2017-08-01,37,,0.2962962962962963,10.962962962962962,7.95,7.99,7.68,7.7,12952400
2017-08-02,41,,0.2962962962962963,12.148148148148147,7.76,7.85,7.60,7.71,7548800
2017-08-03,43,,0.2962962962962963,12.74074074074074,7.76,7.86,7.67,7.77,7300400
2017-08-04,41,,0.2962962962962963,12.148148148148147,7.85,7.90,7.78,7.83,6304300
2017-08-07,36,,0.3333333333333333,12.0,7.83,7.98,7.80,7.95,11856300
2017-08-08,36,,0.3333333333333333,12.0,7.99,8.57,7.96,8.55,20090200
